"","Journal","Rank","Source","IF"
"23945","Social Studies of Science","B","emlyon",4.038
"23946","Social Studies of Science","B","emlyon",4.038
"23947","Socio-Economic Review","B+","emlyon",3.774
"23948","Sociological Perspectives","B","emlyon",1.194
"23949","Sociologie Contemporaine","C","emlyon",NA
"23950","Sociologie du travail","B+","emlyon",0.314
"23951","Sociologie et Sociétés","C","emlyon",NA
"23952","Sociology","B+","emlyon",NA
"23953","Sociology of Education","B","emlyon",3.647
"23954","Southern Economic Journal","B","emlyon",0.922
"23955","Strategic change","C","emlyon",NA
"23956","Strategic Entrepreneurship Journal","A","emlyon",6.2
"23957","Strategic Management Journal","A+","emlyon",5.471
"23958","Strategic Organization","A","emlyon",3.413
"23959","Studia Phaenomenologica","B","emlyon",NA
"23960","System Dynamics Review","B+","emlyon",1.879
"23961","Systèmes d’Information et Management","B","emlyon",NA
"23962","Technological Forecasting and Social Change","B+","emlyon",5.846
"23963","Technology Analysis and Strategic Management","C","emlyon",1.867
"23964","Technovation","B","emlyon",5.729
"23965","Technovation","B","emlyon",5.729
"23966","The B.E. Journal of Economic Analysis and Policy. Advances","B","emlyon",NA
"23967","The B.E. Journal of Economic Analysis and Policy. Frontiers","B+","emlyon",NA
"23968","The B.E. Journal of Theoretical Economics. Advances","B","emlyon",NA
"23969","The B.E. Journal of Theoretical Economics. Frontiers","B+","emlyon",NA
"23970","Theological studies","B","emlyon",NA
"23971","Theoretical economics","B+","emlyon",1.631
"23972","Theory and Decision","B+","emlyon",0.798
"23973","Theory, Culture & Society","B","emlyon",NA
"23974","Total Quality Environmental Management","C","emlyon",NA
"23975","Total Quality Management & Business Excellence","C","emlyon",NA
"23976","Transactions of the ASME. Journal of Engineering for Industry","C","emlyon",NA
"23977","Transportation Research Part A: Policy and Practice","B","emlyon",NA
"23978","Transportation Research Part B: Methodological","B","emlyon",NA
"23979","Transportation Research Part C: Emerging Technologies","B","emlyon",NA
"23980","Transportation Research Part D: Transport and Environment","C","emlyon",NA
"23981","Transportation Research Part E: Logictics and Transportation Review","B","emlyon",NA
"23982","Transportation Science","A","emlyon",3.384
"23983","Transportation Science","A","emlyon",3.384
"23984","Venture Capital: An International Journal of Entrepreneurial Finance","B","emlyon",NA
"23985","Work and Occupations","B+","emlyon",2.875
"23986","Work and Stress","B","emlyon",3.634
"23987","Work Employment and Society","B","emlyon",3.171
"23988","World Bank Economic Review","B","emlyon",1.761
"23989","World Development","B","emlyon",3.869
"23990","World Economy","B","emlyon",0.96
"23991","Young Consumers","C","emlyon",NA
"23992","Academy of Management Review","A+","CNRS",8.413
"23993","American Economic Review","A+","CNRS",5.561
"23994","Econometrica","A+","CNRS",3.992
"23995","Econometrica","A+","CNRS",3.992
"23996","Journal of Economic Literature","A+","CNRS",6.585
"23997","Journal of Political Economy","A+","CNRS",5.504
"23998","Management Science","A+","CNRS",3.935
"23999","Management Science","A+","CNRS",3.935
"24000","Quarterly Journal of Economics","A+","CNRS",11.375
"24001","Review of Economic Studies","A+","CNRS",4.89
"24002","Academy of Management Journal","A","CNRS",7.571
"24003","American Economic Journal: Applied Economics","A","CNRS",NA
"24004","Brookings Papers on Economic Activity","A","CNRS",7.8
"24005","Economic Journal","A","CNRS",2.764
"24006","European Economic Review","A","CNRS",1.744
"24007","International Economic Review","A","CNRS",1.56
"24008","Journal of Economic Perspectives","A","CNRS",9.912
"24009","Journal of Management","A","CNRS",8.88
"24010","Journal of Management Studies","A","CNRS",4.888
"24011","Journal of the European Economic Association","A","CNRS",3.388
"24012","Quantitative Economics","A","CNRS",1.271
"24013","Review of Economics and Statistics","A","CNRS",4.345
"24014","Academy of Management Annals","B+","CNRS",11.865
"24015","Academy of Management Learning and Education","B+","CNRS",4.058
"24016","Annales d'Économie et Statistiques / Annals of Economics and Statistics","B+","CNRS",NA
"24017","Applied Economics","B+","CNRS",1.103
"24018","British Journal of Management","B+","CNRS",3.023
"24019","California Management Review","B+","CNRS",3.909
"24020","Cambridge Journal of Economics","B+","CNRS",1.717
"24021","Canadian Journal of Economics / Revue Canadienne d'Économique","B+","CNRS",NA
"24022","Economic Inquiry","B+","CNRS",1.183
"24023","Economic Policy","B+","CNRS",4.485
"24024","Economica","B+","CNRS",1.478
"24025","Economy and Society","B+","CNRS",1.208
"24026","International Journal of Management Reviews","B+","CNRS",8.631
"24027","Journal of Economic Behavior and Organization","B+","CNRS",1.591
"24028","Journal of Economic Surveys","B+","CNRS",3.126
"24029","Journal of Institutional and Theoretical Economics","B+","CNRS",NA
"24030","Journal of Institutional Economics","B+","CNRS",1.827
"24031","Journal of Post-Keynesian Economics","B+","CNRS",NA
"24032","Kyklos","B+","CNRS",1.708
"24033","M@n@gement","B+","CNRS",NA
"24034","Oxford Bulletin of Economics and Statistics","B+","CNRS",0.918
"24035","Oxford Bulletin of Economics and Statistics","B+","CNRS",0.918
"24036","Oxford Economic Papers","B+","CNRS",NA
"24037","Review of International Political Economy","B+","CNRS",2.312
"24038","Revue d'Économie Politique","B+","CNRS",NA
"24039","Revue Économique","B+","CNRS",NA
"24040","Scandinavian Journal of Economics","B+","CNRS",1.422
"24041","Southern Economic Journal","B+","CNRS",0.922
"24042","Annual Review of Economics","B+","CNRS",3.591
"24043","Bulletin of Economic Research","B","CNRS",0.333
"24044","Business Research Quarterly","B","CNRS",NA
"24045","l'Administration","B","CNRS",NA
"24046","Competition and Change","B","CNRS",2.188
"24047","De Economist","B","CNRS",NA
"24048","Eastern Economic Journal","B","CNRS",NA
"24049","Economic Record","B","CNRS",0.712
"24050","Economics Bulletin","B","CNRS",NA
"24051","Economics Letters","B","CNRS",1.745
"24052","Économie et Prévision (articles académiques)","B","CNRS",NA
"24053","Economie et Statistique / Economics and Statistics","B","CNRS",NA
"24054","European Business Review","B","CNRS",NA
"24055","European Management Journal","B","CNRS",2.369
"24056","European Management Review","B","CNRS",1.533
"24057","Feminist Economics","B","CNRS",1.406
"24058","Finance Contrôle Stratégie","B","CNRS",NA
"24059","German Economic Review","B","CNRS",0.86
"24060","Global Strategy Journal","B","CNRS",4.065
"24061","Journal of Economic Issues","B","CNRS",0.577
"24062","Journal of Economics","B","CNRS",1.373
"24063","Journal of Management Inquiry","B","CNRS",1.778
"24064","Management Learning","B","CNRS",2.18
"24065","Manchester School","B","CNRS",0.622
"24066","Metroeconomica","B","CNRS",1
"24067","Oxford Review of Economic Policy","B","CNRS",3.438
"24068","Recherches Économiques de Louvain / Louvain Economic Review †","B","CNRS",NA
"24069","Research in Economics","B","CNRS",NA
"24070","Review of Political Economy","B","CNRS",NA
"24071","Review of Radical Political Economy","B","CNRS",NA
"24072","Review of Social Economy","B","CNRS",NA
"24073","Revue de la Régulation","B","CNRS",NA
"24074","Revue Française de Gestion","B","CNRS",NA
"24075","Revue Française d'Économie","B","CNRS",NA
"24076","Scandinavian Journal of Management","B","CNRS",1.891
"24077","Scottish Journal of Political Economy","B","CNRS",0.54
"24078","SERIEs. Journal of the Spanish Economic Association","B","CNRS",NA
"24079","Socio-Economic Review","B","CNRS",3.774
"24080","Frontiers et Advances)","B","CNRS",NA
"24081","The Review of Austrian Economics","C","CNRS",NA
"24082","Applied Economics Letters","C","CNRS",0.752
"24083","Asia Pacific Journal of Management","C","CNRS",3.064
"24084","Australian Economic Papers","C","CNRS",0.783
"24085","Australian Economic Review","C","CNRS",0.711
"24086","Brussels Economic Review / Cahiers Économiques de Bruxelles †","C","CNRS",NA
"24087","Economia Politica","C","CNRS",0.453
"24088","Economics EJournal Articles","C","CNRS",NA
"24089","Économie Appliquée","C","CNRS",NA
"24090","Économie et Institutions","C","CNRS",NA
"24091","Electronic Commerce Research and Applications","C","CNRS",3.824
"24092","Electronic Commerce Research and Applications","C","CNRS",3.824
"24093","European Journal of Economics and Economic Policy","C","CNRS",NA
"24094","International Journal of Arts Management","C","CNRS",0.784
"24095","International Journal of Political Economy","C","CNRS",NA
"24096","International Studies of Management and Organization","C","CNRS",NA
"24097","Japanese Economic Review","C","CNRS",0.389
"24098","Journal of Quantitative Economics","C","CNRS",NA
"24099","Journal of the Knowledge Economy","C","CNRS",NA
"24100","L'Actualité Économique, Revue d'analyse Économique","C","CNRS",NA
"24101","Management Decision","C","CNRS",2.723
"24102","Portuguese Economic Journal","C","CNRS",0.684
"24103","Recherches en Sciences de Gestion (anciennement Revue Sciences de Gestion)","C","CNRS",NA
"24104","Review of Managerial Science","C","CNRS",3
"24105","Revue de l’OFCE","C","CNRS",NA
"24106","Revue de l'Organisation Responsable","C","CNRS",NA
"24107","Revue Française de Socio-Économie","C","CNRS",NA
"24108","Swiss Journal of Economics and Statistics","C","CNRS",NA
"24109","American Journal of Agricultural Economics","A","CNRS",3.028
"24110","American Journal of Agricultural Economics","A","CNRS",3.028
"24111","Ecological Economics","A","CNRS",4.482
"24112","Ecological Economics","A","CNRS",4.482
"24113","Energy Journal","A","CNRS",2.394
"24114","Energy Journal","A","CNRS",2.394
"24115","Journal of Environmental Economics and Management","A","CNRS",3.449
"24116","Agricultural Economics","B+","CNRS",2.263
"24117","Agricultural Economics","B+","CNRS",2.263
"24118","Climate Policy","B+","CNRS",4.011
"24119","Energy Economics","B+","CNRS",5.203
"24120","Energy Policy","B+","CNRS",5.042
"24121","Energy Policy","B+","CNRS",5.042
"24122","Environmental and Resource Economics","B+","CNRS",2.286
"24123","Environmental Modelling and Assessment","B+","CNRS",NA
"24124","European Review of Agricultural Economics","B+","CNRS",2.323
"24125","European Review of Agricultural Economics","B+","CNRS",2.323
"24126","Journal of Agricultural Economics","B+","CNRS",2.529
"24127","Journal of Agricultural Economics","B+","CNRS",2.529
"24128","Resource and Energy Economics","B+","CNRS",1.829
"24129","Australian Journal of Agricultural and Resource Economics","B","CNRS",1.386
"24130","Australian Journal of Agricultural and Resource Economics","B","CNRS",1.386
"24131","Canadian Journal of Agricultural Economics","B","CNRS",NA
"24132","Climatic Change","B","CNRS",4.134
"24133","Ecological Modelling","B","CNRS",2.497
"24134","Energy Studies Review","B","CNRS",NA
"24135","Environment and Development Economics","B","CNRS",1.429
"24136","Environmental Values","B","CNRS",2.158
"24137","Food Policy","B","CNRS",4.189
"24138","Food Policy","B","CNRS",4.189
"24139","Global Environmental Change","B","CNRS",NA
"24140","Journal of Agricultural and Resource Economics","B","CNRS",1.184
"24141","Journal of Agricultural and Resource Economics","B","CNRS",1.184
"24142","Journal of Energy and Development","B","CNRS",NA
"24143","Journal of Environmental Management","B","CNRS",5.647
"24144","Journal of Environmental Planning and Management","B","CNRS",2.093
"24145","Journal of Forest Economics","B","CNRS",1.74
"24146","Journal of Forest Economics","B","CNRS",1.74
"24147","Journal of Wine Economics","B","CNRS",1.774
"24148","Journal of Wine Economics","B","CNRS",1.774
"24149","Marine Resource Economics","B","CNRS",2.868
"24150","Marine Resource Economics","B","CNRS",2.868
"24151","Natural Resources Forum","B","CNRS",1.436
"24152","Natural Resources Forum","B","CNRS",1.436
"24153","Resources Policy","B","CNRS",3.986
"24154","Review of Agricultural Economics","B","CNRS",NA
"24155","Review of Environmental Economics and Policy","B","CNRS",6.487
"24156","Society and Natural Resources","B","CNRS",1.813
"24157","Agribusiness","C","CNRS",1.218
"24158","Agribusiness","C","CNRS",1.218
"24159","Agricultural and Resource Economics Review","C","CNRS",NA
"24160","Business Strategy and the Environment","C","CNRS",5.483
"24161","Climate Change Economics","C","CNRS",1.271
"24162","Développement Durable et Territoires","C","CNRS",NA
"24163","Economics of Energy & Environmental Policy","C","CNRS",NA
